stage,topic,level,question,option_a,option_b,option_c,option_d,correct_option,explanation,question_type,question_order
1,Money Basics,1,What is the primary difference between simple interest and compound interest?,Simple earns interest only on principal; compound earns interest on principal plus accumulated interest,Simple interest is paid monthly; compound interest is paid annually,Simple interest is always higher than compound interest,Compound interest applies only to savings accounts,A,"With simple interest, I = P×r×t. With compound interest, interest is periodically added to the principal, so future interest also earns interest — dramatically accelerating growth over time.",core,1
1,Money Basics,1,What is the Rule of 72 and how is it applied?,Divide 72 by the annual interest rate to estimate the number of years to double an investment,Multiply 72 by your return rate to find total portfolio value,Divide your savings balance by 72 to find your monthly contribution requirement,72 minus your age equals the percentage to hold in equities,A,"At 6% annual return, 72÷6 = 12 years to double. This mental math shortcut also works in reverse: at 3% inflation, purchasing power halves in 24 years.",core,1
1,Money Basics,1,What is the sequence of returns risk in retirement and why does it matter more than average returns?,"Poor early returns force more share liquidation, depleting the portfolio before recovery — average returns don't capture this timing effect",High returns early in retirement accelerate portfolio depletion through excess withdrawals,"Sequence risk only matters for bond portfolios, not stock-heavy ones",Average returns fully predict retirement portfolio outcomes when combined with withdrawal rates,A,"Two retirees with identical average returns but different timing can have vastly different outcomes. A 30% drop in year one forces selling more shares, permanently reducing the base available for recovery.",core,1
1,Money Basics,1,What is the Efficient Market Hypothesis (EMH) and what are its three forms?,"EMH states prices reflect all available information; weak (past prices), semi-strong (public info), strong (all info including insider)",EMH states only institutional investors can consistently beat the market in three distinct timeframes,"EMH has two forms: fundamental and technical, both asserting markets are always correctly priced",EMH claims diversification eliminates all investment risk across three asset classes,A,Weak form: technical analysis can't beat the market. Semi-strong: fundamental analysis can't either. Strong: even insider trading can't generate excess returns. Most evidence supports semi-strong form.,core,1
1,Money Basics,1,What is the Sharpe Ratio formula and what does it measure in portfolio management?,Sharpe Ratio = (Portfolio Return − Risk-Free Rate) / Standard Deviation; measures risk-adjusted return per unit of total volatility,Sharpe Ratio = Portfolio Return / Beta; measures return relative to market risk,Sharpe Ratio = Alpha / Beta; measures manager skill relative to market exposure,Sharpe Ratio = (Return − Inflation) / Duration; measures real return per year of investment,A,"A Sharpe Ratio of 1.0 means you earn 1% excess return per 1% of volatility. Higher is better. It allows comparing portfolios with different risk levels on equal footing, though it uses total volatility (not just downside).",core,1
1,Money Basics,1,"Which budgeting method allocates 50% to needs, 30% to wants, and 20% to savings and debt repayment?",The 50/30/20 rule,The zero-based budget,The envelope method,The pay-yourself-first method,A,"Popularized by Elizabeth Warren, the 50/30/20 rule is a simple percentage framework. It differs from zero-based budgeting (every dollar assigned) and the envelope method (cash in physical envelopes).",core,2
1,Money Basics,1,What distinguishes a Roth IRA from a Traditional IRA regarding tax treatment?,Roth contributions are after-tax with tax-free withdrawals; Traditional contributions are pre-tax with taxable withdrawals,Roth has higher contribution limits than Traditional IRAs,Traditional IRA withdrawals are tax-free; Roth withdrawals are taxed,Both accounts have identical tax treatment but different investment options,A,Roth is better if you expect higher taxes in retirement; Traditional is better if you expect lower taxes. The key trade-off is paying taxes now (Roth) vs. deferring them (Traditional).,core,2
1,Money Basics,1,How does tax-loss harvesting work and what is the wash-sale rule's role?,Selling losing positions to offset capital gains; the wash-sale rule prevents repurchasing the same security within 30 days before or after,Deferring capital gains by holding assets over one year; wash-sale prevents selling at a loss,Converting traditional IRAs to Roth accounts; wash-sale prevents double taxation,Harvesting dividend income in tax-advantaged accounts; wash-sale applies to dividend reinvestment,A,"Tax-loss harvesting reduces your tax bill by realizing losses that offset gains. The IRS wash-sale rule prevents immediately buying back the same security, which would make the loss purely cosmetic.",core,2
1,Money Basics,1,What is behavioral finance and how does loss aversion specifically affect investor decision-making?,"Behavioral finance studies psychological biases; loss aversion causes investors to feel losses ~2× more intensely than equivalent gains, leading to excessive risk avoidance",Behavioral finance focuses on corporate financial statements; loss aversion causes investors to over-diversify,Loss aversion refers to investors always choosing lower-risk assets regardless of return expectations,"Behavioral finance only studies retail investor behavior, not institutional decision-making",A,"Kahneman and Tversky's prospect theory shows losses loom larger than gains psychologically. This leads to holding losers too long, selling winners too early (disposition effect), and refusing good-risk-adjusted opportunities.",core,2
1,Money Basics,1,What distinguishes the Sortino Ratio from the Sharpe Ratio and when is it more appropriate?,Sortino uses only downside deviation (not total volatility) in the denominator; more appropriate when return distributions are asymmetric or positively skewed,Sortino replaces the risk-free rate with inflation; appropriate for real return measurement,Sortino adds a skewness adjustment to the Sharpe Ratio for non-normal distributions,Sortino uses median return instead of mean return; appropriate for illiquid asset classes,A,"Sharpe penalizes upside volatility equally with downside. Sortino correctly penalizes only downside risk. For a fund with occasional large gains (right-skewed), Sortino is more flattering and arguably more accurate.",core,2
