"stage","level","topic","content"
"1","1","Interest & Market Efficiency","Simple interest is calculated only on the original principal: I = P × r × t. If you deposit $1,000 at 5% for 3 years, you earn $150. Compound interest earns interest on both the principal and all previously accumulated interest. The same $1,000 at 5% compounded annually grows to $1,157.63 after 3 years — not $1,150 — because each year's interest is added to the base before the next year's interest is calculated. Over decades, this difference becomes enormous, making compounding the most powerful force in wealth building. The Rule of 72 is a mental math shortcut: divide 72 by the annual interest rate to estimate how many years it takes for an investment to double. At 6% annual return, 72 ÷ 6 = 12 years to double. In reverse, at 3% annual inflation, purchasing power halves in 24 years (72 ÷ 3). The Efficient Market Hypothesis (EMH) states that asset prices at any moment fully reflect all available information, making it impossible to consistently beat the market. EMH has three forms: weak form (past prices and trading data are already priced in, so technical analysis cannot predict future prices), semi-strong form (all publicly available information is already priced in, so fundamental analysis cannot generate consistent excess returns), and strong form (even private or insider information is priced in). Most academic evidence supports the semi-strong form. The Sharpe Ratio measures how much excess return you earn per unit of total risk: Sharpe Ratio = (Portfolio Return − Risk-Free Rate) ÷ Standard Deviation. A ratio of 1.0 means you earn 1% excess return for every 1% of volatility. Higher is better. It allows fair comparison between portfolios with different risk levels. However, it uses total volatility — both upside and downside — in the denominator, which can unfairly penalize funds with large occasional gains. Sequence of returns risk is the danger that the timing of investment losses — not just the average return — determines retirement outcomes. Two retirees with identical average annual returns over 30 years can have vastly different portfolio endings if one experiences large early losses. A 30% drop in year one forces selling more shares at low prices to fund withdrawals, permanently shrinking the portfolio's recovery base, even if returns are excellent in later years."
"1","2","Budgeting & Retirement Accounts","The 50/30/20 rule is a budgeting framework that allocates after-tax income as follows: 50% to needs (essential expenses like rent, utilities, groceries), 30% to wants (entertainment, dining, hobbies), and 20% to savings and debt repayment. It was popularized by Elizabeth Warren. Zero-based budgeting assigns every single dollar of income to a specific purpose so income minus all budget categories equals exactly zero — every dollar has a job. The envelope method divides cash physically into labeled envelopes for each spending category, preventing overspending in any one area. Traditional and Roth IRAs are both individual retirement accounts but with opposite tax timing. A Traditional IRA uses pre-tax contributions: you get a tax deduction now, but all withdrawals in retirement are taxed as ordinary income. A Roth IRA uses after-tax contributions: no deduction today, but all qualified withdrawals in retirement — including all investment growth — are completely tax-free. Choose Roth if you expect to be in a higher tax bracket in retirement; choose Traditional if you expect a lower bracket. Tax-loss harvesting is the practice of selling an investment that has declined in value to realize a capital loss, which can offset capital gains elsewhere in your portfolio and reduce your tax bill. The wash-sale rule is a critical restriction: you cannot buy a substantially identical security within 30 days before or after the sale that generated the loss. The 61-day window is the full restriction (30 days before + the day of sale + 30 days after). If you violate the wash-sale rule, the loss is disallowed but not gone — it is added to the cost basis of the replacement security, deferring it. Wash-sale rules apply across all accounts, including IRAs. Loss aversion, identified by Kahneman and Tversky in prospect theory, is the psychological tendency to feel the pain of a financial loss roughly twice as intensely as the pleasure of an equal gain. In investing, this leads to holding losing positions too long (hoping to avoid realizing the loss), selling winning positions too early (locking in gains before they reverse), and avoiding beneficial opportunities because the potential loss feels too painful. The Sortino Ratio improves on the Sharpe Ratio by using only downside deviation — the volatility of negative returns — in the denominator instead of total standard deviation. This means the Sortino Ratio does not penalize a fund for large upside gains. For funds whose returns are asymmetrically skewed to the upside (right-skewed distributions), the Sortino Ratio gives a fairer and more favorable picture of risk-adjusted performance."
"1","3","Savings Rates & Investment Fundamentals","APY (Annual Percentage Yield) is the actual annual rate of return on a savings product after accounting for all compounding effects within the year. If a savings account has an APY of 4.5%, your money grows by exactly 4.5% per year in total, regardless of how often interest compounds internally. APY is more accurate than the nominal APR for comparing savings products because it reflects true annual growth. Dollar-cost averaging (DCA) is the strategy of investing a fixed dollar amount at regular, predetermined intervals regardless of market prices. Because you invest the same dollar amount each period, you automatically buy more shares when prices are low and fewer shares when prices are high, which reduces your average cost per share over time. DCA removes the emotionally difficult and nearly impossible task of correctly timing the market, helping investors avoid the behavioral bias of waiting for the 'perfect' moment to invest. Nominal interest rates are the stated, face-value rates. Real interest rates adjust nominal rates for inflation to show actual purchasing power gains. The Fisher equation connects them precisely: (1 + nominal rate) = (1 + real rate) × (1 + inflation rate). For low rates, the approximation works well: Real Rate ≈ Nominal Rate − Inflation Rate. A 5% nominal return during 3% inflation yields only about 2% real return — the portion that actually increases what you can buy. A 1031 exchange (under IRC §1031) allows real estate investors to defer capital gains taxes when selling an investment property, as long as proceeds are reinvested into a like-kind replacement property. There are two hard deadlines that cannot be missed: the investor must identify potential replacement properties within 45 days of the original sale, and must close on the replacement property within 180 days of the original sale. Missing either deadline means the full capital gains tax is immediately due for that year. Factor investing is a rules-based strategy of targeting securities that share specific characteristics — called factors — which academic research has linked to persistent, above-average long-term returns. The Fama-French five-factor model (2015) identifies five such factors: market risk (overall market exposure/beta), size (small-cap stocks historically outperform large-cap), value (stocks with low price relative to book value outperform), momentum (recent 1–12 month winners tend to keep winning), and profitability/quality (highly profitable companies outperform). Factor ETFs systematically tilt toward these premiums at relatively low cost."
"1","4","Tax Strategy & Bond Concepts","A tax deduction reduces your taxable income before calculating your tax bill, so its value equals the deduction amount multiplied by your marginal tax rate. A $1,000 deduction at a 22% marginal rate saves you $220. A tax credit directly reduces your final tax bill dollar-for-dollar, regardless of your tax bracket. A $1,000 credit saves you exactly $1,000. This means credits are always more valuable than deductions of the same dollar amount. The marginal tax rate is the rate you pay on each additional (last) dollar of income earned. The effective tax rate is the average rate you actually pay across all your income, calculated as total tax paid divided by total income. The U.S. uses a progressive tax bracket system, so only the income within each bracket is taxed at that bracket's rate. This means your effective rate is always lower than your marginal rate — a 24% marginal rate does not mean you pay 24% on all your income. A Health Savings Account (HSA) is the only financial account in the U.S. tax code offering a triple tax advantage: (1) contributions are tax-deductible (reducing taxable income now), (2) investment growth inside the account is tax-free, and (3) qualified medical withdrawals are completely tax-free. To contribute, you must be enrolled in a high-deductible health plan (HDHP). Unused HSA funds roll over indefinitely — there is no 'use it or lose it' rule. After age 65, HSA funds can be withdrawn for any purpose (taxed as ordinary income like a traditional IRA), making the HSA a powerful stealth retirement account. Qualified Opportunity Zones (QOZs) are federally designated low-income areas where investing capital gains unlocks three stacked tax benefits: (1) the original capital gain is deferred until 2026, (2) the basis in the opportunity zone investment is partially stepped up if held at least 5 years, and (3) all appreciation on the opportunity zone investment is permanently excluded from tax if held 10 or more years. Created by the 2017 Tax Cuts and Jobs Act. Duration measures a bond's price sensitivity to interest rate changes in a linear approximation. If interest rates rise by 1%, a bond with duration of 7 years will fall approximately 7% in price. Convexity measures the curvature in the actual price-yield relationship — the fact that the true relationship is not a straight line but a curve (bowed shape). Positive convexity means a bond gains more in price when rates fall than it loses in price when rates rise — a desirable property. The full approximation: Price Change ≈ −Duration × Δy + ½ × Convexity × (Δy)². Convexity matters most during large interest rate moves, where the linear duration estimate becomes inaccurate."
"1","5","Financial Health & Advanced Concepts","Opportunity cost is the value of the best alternative you give up when making any financial decision. It is a hidden cost that does not appear on any bill. If you spend $20,000 of savings on a car instead of investing it at 8%, your opportunity cost is the future investment growth you forgo. Recognizing opportunity costs pushes you toward more deliberate, rational financial decisions. Liquidity describes how easily and quickly an asset can be converted to cash without a significant loss of value. Cash is perfectly liquid. Savings accounts are highly liquid. Real estate is illiquid. Highly liquid assets typically offer lower returns; illiquid assets can offer higher returns as compensation for locking up your money. Emergency funds must be liquid. Long-term savings can tolerate illiquidity in exchange for higher potential returns. A backdoor Roth IRA conversion is a legal workaround for high earners who exceed the Roth IRA direct contribution income limits (in 2024: $146,000 for single filers, $230,000 for married). The strategy: make a non-deductible contribution to a Traditional IRA (no income limit applies), then immediately convert that Traditional IRA to a Roth IRA. This gives any earner access to Roth's tax-free growth regardless of income. Step-up in basis is a tax rule that resets an inherited asset's cost basis to its fair market value at the date of the original owner's death, eliminating all capital gains tax liability on appreciation that occurred during the deceased's lifetime. If a parent purchased stock for $10,000 and it is worth $500,000 at death, the heir inherits it at a $500,000 basis — selling immediately creates zero capital gains. This forms the foundation of the 'buy, borrow, die' strategy: buy appreciating assets, borrow against them tax-free for living expenses, and hold until death to pass a stepped-up basis to heirs. A total return swap (TRS) is a financial contract where one party (typically a hedge fund) receives the total economic return of a reference asset — all price appreciation plus dividends or coupons — while paying a fixed or floating rate to the counterparty (typically a bank). The bank owns the actual asset; the fund gains full economic exposure without owning it. This creates synthetic leverage: a fund can gain $100M of equity exposure with minimal upfront capital, with no on-balance-sheet ownership. Net worth = Total Assets − Total Liabilities. It is the single most comprehensive snapshot of your overall financial health. Tracking net worth over time reveals whether you are genuinely building wealth or falling behind as liabilities grow faster than assets."
"2","1","Risk","CAPM & Portfolio Foundations: Every investment faces two broad categories of risk. Systematic risk (also called market risk) affects the entire market simultaneously and cannot be reduced by owning more stocks. Examples include recessions, rising interest rates, geopolitical crises, and pandemics. Unsystematic risk (also called idiosyncratic or company-specific risk) affects only a single company or sector — product recalls, management fraud, regulatory fines, or competitor threats. Diversification — owning many uncorrelated assets — eliminates unsystematic risk entirely over time, but systematic risk always remains. The Capital Asset Pricing Model (CAPM) is the foundational framework for pricing systematic risk: Expected Return E(R) = Rf + β × (Rm − Rf). Rf is the risk-free rate (e.g., the current Treasury yield). β (beta) measures the stock's sensitivity to overall market movements — beta 1.5 means the stock moves 1.5× as much as the market in both directions. (Rm − Rf) is the market risk premium, the extra return investors demand for holding the market over the risk-free asset. CAPM says higher systematic risk (higher beta) must be rewarded with higher expected return. The Fama-French three-factor model extends CAPM by adding two additional factor premiums. SMB (Small Minus Big) captures the historical tendency for small-cap stocks to earn higher returns than large-cap stocks. HML (High Minus Low) captures the tendency for value stocks (those with high book value relative to market price) to earn higher returns than growth stocks. These premiums are unexplained by market beta alone. The Modigliani-Miller (MM) theorem (1958) states that in a world of perfect capital markets — no taxes, no bankruptcy costs, no information asymmetry, and no transaction costs — a firm's total market value is completely independent of how it is financed. Whether a firm uses debt or equity does not change its value. In the real world, taxes favor debt (interest payments are tax-deductible), while bankruptcy risk and financial distress costs disfavor excessive debt, creating an optimal capital structure between the two extremes. The Heston stochastic volatility model (1993) improves on Black-Scholes by allowing the volatility of an asset to be stochastic (randomly varying) rather than constant. Volatility follows a mean-reverting CIR process back toward a long-run average. This enables the Heston model to reproduce the volatility smile and volatility term structure observed in real options markets. Key parameters: mean-reversion speed (κ), long-run variance (θ), vol-of-vol (σ), and the correlation between asset returns and volatility changes (ρ). The model has a semi-analytical solution via characteristic functions, making it tractable for calibration."
"2","2","Valuation","Alpha & Option Pricing: The Price-to-Earnings (P/E) ratio is calculated as Share Price ÷ Earnings Per Share (EPS). It tells you how many dollars investors are willing to pay for each dollar of current earnings. A high P/E ratio — for example 40× versus a market average of 20× — signals that investors expect the company to grow its earnings significantly in the future and are paying a premium today for that future growth. High P/E stocks carry more valuation risk: if future earnings disappoint, the stock can fall sharply because the high price was built on optimistic assumptions. In portfolio performance attribution, alpha and beta measure different things. Beta measures how much of a portfolio's return is simply explained by exposure to the overall market (systematic risk). Alpha (Jensen's alpha) measures the excess return earned above and beyond what market beta exposure alone would predict: Alpha = Actual Return − CAPM Expected Return. A manager who returned 12% when CAPM predicted 10% has 2% alpha — genuine skill. Persistent positive alpha after fees is extremely rare, and most active funds underperform passive benchmarks after costs. The Black-Scholes model prices European-style options using five inputs: (1) current stock price, (2) option strike price, (3) time remaining until expiry, (4) the risk-free interest rate, and (5) the implied volatility of the underlying asset. Its revolutionary insight (1973) is that an option can be continuously delta-hedged by the seller, making the hedged position riskless and therefore priced at the risk-free rate — pricing does not require knowing the stock's actual expected return. Its key limitation is the assumption of constant volatility, which is contradicted by the real-world volatility smile (implied volatility varies across strike prices). IRR (Internal Rate of Return) is a return calculation that assumes cash flows occur at evenly spaced time intervals (e.g., exactly every 12 months). XIRR handles cash flows with irregular, specific dates — essential for private equity fund distributions, real estate transactions, or any investment where money moves in and out on unpredictable dates. Using standard IRR on irregularly timed cash flows produces materially incorrect return figures. Alpha decay describes how a strategy's excess return erodes over time as more capital flows in to exploit it. When academic researchers publish a factor premium, funds targeting that premium multiply, demand for those securities rises, prices are bid up, and the forward return premium shrinks. Capacity constraints arise because deploying large amounts of capital in small-cap stocks moves their prices against you, destroying the very edge being exploited. A $50M small-cap strategy may deliver strong returns; a $5B version of the same strategy may earn close to market returns."
"2","3","Investment Vehicles & Structured Products","An ETF (Exchange-Traded Fund) is a basket of securities — stocks, bonds, or commodities — packaged to trade on a stock exchange throughout the entire trading day at continuously quoted prices, just like individual stocks. A mutual fund, by contrast, is priced only once per day after the market closes at its Net Asset Value (NAV), and all buy or sell orders execute at that single end-of-day price. ETFs also tend to have lower expense ratios and are significantly more tax-efficient: their in-kind creation and redemption mechanism allows the fund to meet investor redemptions by handing out the underlying securities rather than selling them, which avoids generating taxable capital gains distributions that mutual fund shareholders regularly receive. Short selling is the practice of borrowing shares of a stock you do not own, immediately selling them in the open market, and hoping to repurchase them later at a lower price to return to the lender — profiting from the decline. The risk/reward profile is fundamentally asymmetric: the maximum possible gain is 100% (the stock can only fall to zero), but losses are theoretically unlimited because a stock's price can keep rising indefinitely. Risk parity is a portfolio construction philosophy that allocates capital so that each asset class contributes an equal share of total portfolio risk — not an equal share of portfolio dollars. In a traditional 60/40 stock-bond portfolio, equities are so much more volatile than bonds that they drive over 90% of total portfolio risk despite representing only 60% of the capital. Risk parity corrects this by typically using leverage to increase the bond allocation until bonds contribute equally to risk, creating a genuinely balanced risk profile. A Credit Default Swap (CDS) is a derivative contract that provides insurance-like protection against the default of a bond or loan: the protection buyer pays regular periodic premiums; the protection seller pays out the face value if the reference entity defaults. In 2008, AIG sold hundreds of billions in CDS on mortgage-backed securities (MBS) without holding sufficient capital reserves to cover potential payouts. When mortgage defaults surged, AIG faced catastrophic losses it could not pay, requiring a $182 billion government bailout and nearly triggering systemic financial collapse. A variance swap is a financial derivative that pays the difference between the realized variance of an asset over a period and a pre-agreed variance strike. It differs from a volatility swap (which pays realized volatility minus vol strike) because variance = volatility squared. This mathematical relationship means variance swap payoffs are convex — disproportionately large during extreme volatility spikes. For example, if the VIX jumps from 15 to 45 (a 3× move), realized variance increases by 9× (3²). The fair variance strike is always slightly above the fair volatility strike."
"2","4","Beta","Efficient Frontier & Portfolio Theory: Beta (β) is a measure of a stock's price sensitivity relative to the overall market. A beta of 1.0 means the stock moves exactly in line with the market. Beta of 1.5 means if the market falls 10%, that stock is expected to fall 15%. Beta below 1.0 means less volatile than the market; negative beta means the stock tends to move opposite to the market. CAPM uses beta to price expected return: higher beta demands higher expected return as compensation for bearing more systematic risk. The Efficient Frontier is a curve in risk-return space, developed by Harry Markowitz in 1952 as the foundation of Modern Portfolio Theory (MPT). It represents all portfolios that offer the maximum possible expected return for each given level of risk, or equivalently, the minimum possible risk for each given level of expected return. No rational investor should hold a portfolio below the Efficient Frontier because a better risk-return combination exists. Combining assets with imperfect correlations reduces total portfolio volatility below the average of individual assets — the mathematical benefit of diversification. The Capital Market Line (CML) extends the Efficient Frontier by adding the risk-free asset. Smart beta strategies use rules-based, transparent alternative index construction methods — weighting by value, momentum, quality, low volatility, or other factors — rather than traditional market-capitalization weighting. Smart beta sits between pure passive indexing (cap-weight) and fully active management (discretionary stock picking). It systematically harvests factor premiums identified in academic research at lower cost than active managers. WACC (Weighted Average Cost of Capital) is the blended after-tax cost of all of a firm's capital sources: WACC = (E/V) × Ke + (D/V) × Kd × (1 − tax rate), where E/V is the equity weight, D/V is the debt weight, Ke is the cost of equity (typically estimated via CAPM), and Kd × (1 − tax) is the after-tax cost of debt. Use WACC to discount free cash flows to the firm (FCFF) in enterprise-level DCF valuation. Use cost of equity alone to discount free cash flows to equity (FCFE). The Grossman-Stiglitz paradox (1980) reveals a logical contradiction in the strong form of EMH: if markets were perfectly informationally efficient, there would be zero reward for costly information gathering, so rational investors would stop gathering information, prices would stop reflecting information, and efficiency would break down. The resolution: markets maintain an 'equilibrium of partial efficiency' where mild inefficiencies persist, just large enough to reward informed traders for their information costs."
"2","5","Portfolio Management & Advanced Derivatives","Portfolio rebalancing is the disciplined process of periodically restoring your portfolio back to its target asset allocation after market movements have caused it to drift. If your target is 60% stocks / 40% bonds and a bull market pushes equities to 75% of your portfolio, you now hold more risk than your plan intended. Rebalancing sells the outperforming asset (stocks) and buys the underperforming one (bonds), mechanically enforcing a 'sell high, buy low' discipline. Duration is a bond's linear price sensitivity to interest rate changes — roughly, the percentage price change for a 1% move in rates. A bond with duration 8 will fall about 8% if rates rise 1%. Convexity captures the curvature of the actual price-yield relationship, improving duration's linear estimate. Positive convexity is desirable: the bond gains more when rates fall than it loses when rates rise. Full approximation: Price Change ≈ −Duration × Δy + ½ × Convexity × (Δy)². The yield curve is a graph plotting bond yields against their maturities. A normal (upward-sloping) yield curve means longer-term bonds yield more than short-term — consistent with a healthy, growing economy. A flat yield curve signals economic slowdown and uncertainty. An inverted yield curve (short-term rates above long-term rates) has preceded every U.S. recession since 1955 and signals that markets expect the Federal Reserve to cut rates due to future economic weakness. The Kelly Criterion provides the mathematically optimal fraction of capital to bet on each investment: Kelly Fraction = (b×p − q) ÷ b, where b = the net odds received, p = probability of winning, q = probability of losing (1 − p). Full Kelly maximizes long-run geometric growth of wealth but recommends very large, concentrated positions. Most practitioners use half-Kelly or quarter-Kelly to reduce short-run volatility while retaining most of the long-run advantage. The risk-neutral pricing framework is the foundation of all derivatives valuation. Under the risk-neutral measure Q, every asset is assumed to grow at the risk-free rate, regardless of its actual expected return. Derivatives are then priced as the expected discounted payoff under Q. The key insight (Harrison & Kreps, 1979): if no arbitrage opportunity exists, there must be a risk-neutral measure Q under which discounted asset prices are martingales. This allows consistent pricing without estimating real-world drift. Girsanov's theorem connects the real-world measure P (where the asset drifts at μ) to the risk-neutral measure Q (where it drifts at r) via the market price of risk: λ = (μ − r) ÷ σ. Risk management uses P; derivatives pricing uses Q."
